Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.423  (± 0.0%) i/s -     22.000  in   5.005526s
==================================
  Mode: wall(10)
  Samples: 214187 (2.33% miss rate)
  GC: 539 (0.25%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         8   (0.0%)           4   (0.0%)     GraphQL::Schema.default_execution_strategy
       248   (0.1%)           3   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#on_field
         3   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge::Field.new
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::NullMask.call
         3   (0.0%)           3   (0.0%)     Set#add
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::Member::CachedGraphQLDefinition#type_class
         3   (0.0%)           3   (0.0%)     GraphQL::TypeKinds::TypeKind#abstract?
         3   (0.0%)           3   (0.0%)     GraphQL::TypeKinds::TypeKind#union?
        11   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#validate_fragment_in_scope
        21   (0.0%)           3   (0.0%)     GraphQL::Introspection::InputValueType#serialize_default_value
         4   (0.0%)           3   (0.0%)     GraphQL::Schema::Member::HasArguments#arguments
       128   (0.1%)           3   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#conflicts_within_selection_set
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::Member::CachedGraphQLDefinition#type_class
       400   (0.2%)           3   (0.0%)     GraphQL::Language::Visitor#visit_node
         5   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#follow_spreads
         7   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::ValidationContext#warden
         4   (0.0%)           3   (0.0%)     Enumerable#group_by
        21   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#assert_required_args
         2   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#initialize
         2   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#field_definition
         4   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::ValidationContext#path
         2   (0.0%)           2   (0.0%)     String#force_encoding
       642   (0.3%)           2   (0.0%)     GraphQL::Schema.get_fields
        17   (0.0%)           2   (0.0%)     GraphQL::Schema::Warden#visible_enum_value?
         2   (0.0%)           2   (0.0%)     Array#-
         7   (0.0%)           2   (0.0%)     Set#each
         2   (0.0%)           2   (0.0%)     Module#const_get
        93   (0.0%)           2   (0.0%)     GraphQL::Query#get_field
         2   (0.0%)           2   (0.0%)     JSON::Ext::Generator::State#configure
         4   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#validate_arguments
         2   (0.0%)           2   (0.0%)     Array#last
       256   (0.1%)           2   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#on_field
         8   (0.0%)           2   (0.0%)     GraphQL::Schema::Warden#get_argument
         2   (0.0%)           2   (0.0%)     Class#superclass
         2   (0.0%)           2   (0.0%)     GraphQL::Introspection::EnumValueType#name
         2   (0.0%)           2   (0.0%)     GraphQL::Language::Parser#_reduce_33
         9   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_fragment_spread
        16   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#on_fragment_spread
        19   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_fragment_spread
         7   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::LiteralValidator#maybe_raise_if_invalid
        17   (0.0%)           2   (0.0%)     GraphQL::Language.serialize
    105939  (49.5%)           2   (0.0%)     Enumerable#each_with_index
         2   (0.0%)           2   (0.0%)     Array#pop
         2   (0.0%)           2   (0.0%)     GraphQL::Language::Parser#_reduce_30
        11   (0.0%)           2   (0.0%)     GraphQL::Schema.query_execution_strategy
         2   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::FragmentTypesExist#validate_type_exists
      1187   (0.6%)           2   (0.0%)     GraphQL::Execution::Interpreter#sync_lazies
         1   (0.0%)           1   (0.0%)     GraphQL::Query::Context#initialize
       954   (0.4%)           1   (0.0%)     Array#map
         3   (0.0%)           1   (0.0%)     GraphQL::Query#merge_filters
         1   (0.0%)           1   (0.0%)     GraphQL::Filter::MergedOnly#initialize
         1   (0.0%)           1   (0.0%)     Array#first
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.own_instrumenters
