Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
     83904  (46.4%)          95   (0.1%)     GraphQL::Execution::Interpreter::ArgumentsCache#dataload_for
       368   (0.2%)          95   (0.1%)     GraphQL::Schema::Argument#authorized?
        94   (0.1%)          94   (0.1%)     GraphQL::Schema::Member::BaseDSLMethods#overridden_graphql_name
        93   (0.1%)          93   (0.1%)     Array#push
       145   (0.1%)          91   (0.1%)     GraphQL::Schema::Warden#enum_values
      1392   (0.8%)          91   (0.1%)     GraphQL::Schema::Warden#reachable_type_set
        90   (0.0%)          90   (0.0%)     Hash#values
       248   (0.1%)          90   (0.0%)     GraphQL::Schema::Argument#prepare_value
        88   (0.0%)          88   (0.0%)     GraphQL::Schema::Member::TypeSystemHelpers#non_null?
       232   (0.1%)          87   (0.0%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray#initialize
        87   (0.0%)          86   (0.0%)     GraphQL::Schema::Warden#get_type
       144   (0.1%)          84   (0.0%)     GraphQL::Query#fragments
       483   (0.3%)          79   (0.0%)     GraphQL::Schema::Warden#visible_field?
       360   (0.2%)          78   (0.0%)     GraphQL::Schema::Member::HasFields#get_field
        77   (0.0%)          77   (0.0%)     GraphQL::Schema::EnumValue#value
       109   (0.1%)          77   (0.0%)     GraphQL::Schema::Warden#possible_types
       117   (0.1%)          74   (0.0%)     GraphQL::Query#warden
        73   (0.0%)          72   (0.0%)     GraphQL::Query::Context#warden
       427   (0.2%)          69   (0.0%)     GraphQL::Schema::Argument#deprecation_reason
        68   (0.0%)          68   (0.0%)     String#encode
        67   (0.0%)          67   (0.0%)     GraphQL::Schema::Argument#type
       635   (0.4%)          67   (0.0%)     GraphQL::Schema::LazyHandlingMethods#after_any_lazies
        97   (0.1%)          66   (0.0%)     GraphQL::Schema::Member::HasValidators#validators
       120   (0.1%)          65   (0.0%)     Racc::Parser#_racc_do_parse_c
       177   (0.1%)          63   (0.0%)     GraphQL::Filter#call
       493   (0.3%)          63   (0.0%)     GraphQL::Schema::Member::HasFields#fields
        61   (0.0%)          61   (0.0%)     GraphQL::TypeKinds::TypeKind#non_null?
       173   (0.1%)          59   (0.0%)     GraphQL::Schema::Field::ScopeExtension#after_resolve
        59   (0.0%)          59   (0.0%)     GraphQL::Schema::Object.kind
        58   (0.0%)          58   (0.0%)     GraphQL::TypeKinds::TypeKind#wraps?
        58   (0.0%)          58   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#default_graphql_name
