Warming up --------------------------------------
Querying for 1000 objects
                         1.000  i/100ms
Calculating -------------------------------------
Querying for 1000 objects
                          3.335  (± 0.0%) i/s -     17.000  in   5.101803s
==================================
  Mode: wall(1)
  Samples: 635355 (45.11% miss rate)
  GC: 4965 (0.78%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
    322178  (50.7%)         162   (0.0%)     GraphQL::Execution::Interpreter::Runtime#tap_or_each
       161   (0.0%)         161   (0.0%)     GraphQL::Schema::Member::Scoped#scope_items
       153   (0.0%)         153   (0.0%)     GraphQL::Schema::Object#initialize
       450   (0.1%)         149   (0.0%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash#initialize
       267   (0.0%)         131   (0.0%)     GraphQL::Execution::Interpreter::Arguments#[]
       126   (0.0%)         126   (0.0%)     GraphQL::TypeKinds::TypeKind#input?
      3801   (0.6%)          89   (0.0%)     GraphQL::Schema::FieldExtension#resolve
        82   (0.0%)          82   (0.0%)     Hash#initialize
       531   (0.1%)          75   (0.0%)     GraphQL::Schema::Directive.include?
        66   (0.0%)          66   (0.0%)     GraphQL::Schema::Object.kind
      3276   (0.5%)          66   (0.0%)     GraphQL::Execution::Interpreter::Runtime#authorized_new
        57   (0.0%)          57   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#authorized?
        56   (0.0%)          56   (0.0%)     Hash#size
        45   (0.0%)          45   (0.0%)     GraphQL::Schema::Member::CachedGraphQLDefinition#type_class
      8435   (1.3%)          44   (0.0%)     GraphQL::Schema::Directive.resolve
       132   (0.0%)          35   (0.0%)     GraphQL::Types::ID.coerce_result
       132   (0.0%)          23   (0.0%)     GraphQL::Schema::Member::HasFields#get_field
        88   (0.0%)          17   (0.0%)     GraphQL::Schema::Warden#visible_field?
       178   (0.0%)          12   (0.0%)     GraphQL::Schema::Warden#read_through
        37   (0.0%)          12   (0.0%)     GraphQL::Schema::FindInheritedValue#find_inherited_value
        12   (0.0%)          12   (0.0%)     Module#ancestors
        38   (0.0%)          11   (0.0%)     GraphQL::Schema.query_execution_strategy
       325   (0.1%)           9   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_field
        14   (0.0%)           8   (0.0%)     GraphQL::Schema.default_execution_strategy
        48   (0.0%)           7   (0.0%)     GraphQL::Schema::Warden#arguments
         7   (0.0%)           6   (0.0%)     GraphQL::Schema.visible?
        17   (0.0%)           6   (0.0%)     GraphQL::Schema::Member::HasFields#visible_interface_implementation?
       107   (0.0%)           6   (0.0%)     GraphQL::Schema.get_field
         6   (0.0%)           6   (0.0%)     GraphQL::Schema::Member::HasArguments#own_arguments
        93   (0.0%)           6   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#assert_required_args
         5   (0.0%)           5   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#introspection
         5   (0.0%)           5   (0.0%)     Class#superclass
         8   (0.0%)           5   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#validate_field_selections
       123   (0.0%)           5   (0.0%)     GraphQL::Schema::Warden#get_field
        14   (0.0%)           5   (0.0%)     GraphQL::Filter#call
       368   (0.1%)           4   (0.0%)     GraphQL::Language::Visitor#on_abstract_node
         7   (0.0%)           4   (0.0%)     GraphQL::Schema::Member::HasFields#get_field
       211   (0.0%)           4   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#on_field
         4   (0.0%)           4   (0.0%)     Array#last
      9850   (1.6%)           4   (0.0%)     GraphQL::Execution::Interpreter#sync_lazies
        14   (0.0%)           4   (0.0%)     GraphQL::Query#with_prepared_ast
       434   (0.1%)           4   (0.0%)     Array#map
         4   (0.0%)           4   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge::Field.new
